"","Year","hdi","me_normalized","Name"
"481",1996,0.687,517,52
"482",1996,0.719,142,55
"483",1996,0.83,170,56
"484",1996,0.376,1409,57
"485",1996,0.656,158,58
"486",1996,0.683,1793,59
"487",1996,0.634,179,60
"488",1996,0.56,1924,61
"489",1996,0.498,133,63
"490",1996,0.387,1029,64
"491",1996,0.872,1261,65
"492",1996,0.887,1251,68
"493",1996,0.431,1576,70
"494",1996,0.433,1104,73
"495",1996,0.651,344,74
"496",1996,0.774,2073,75
"497",1996,0.794,365,76
"498",1996,0.703,45,77
"499",1996,0.633,1726,78
"500",1996,0.379,1512,79
"501",1996,0.703,2111,80
"502",1996,0.783,1058,81
"503",1996,0.756,426,82
"504",1996,0.793,1744,83
"505",1996,0.659,417,85
"506",1996,0.374,1705,86
"507",1996,0.535,872,87
"508",1996,0.369,1915,88
"509",1996,0.687,2228,89
"510",1996,0.614,2349,90
"511",1996,0.62,981,91
"512",1996,0.851,893,93
"513",1996,0.884,168,94
"514",1996,0.718,726,95
"515",1997,0.668,1345,1
"516",1997,0.453,1627,2
"517",1997,0.645,1929,3
"518",1997,0.611,1438,4
"519",1997,0.757,1022,6
"520",1997,0.832,1681,7
"521",1997,0.61,39,8
"522",1997,0.452,582,10
"523",1997,0.67,552,11
"524",1997,0.869,2081,12
"525",1997,0.626,839,13
"526",1997,0.399,661,14
"527",1997,0.598,294,15
"528",1997,0.577,422,16
"529",1997,0.665,460,17
"530",1997,0.794,1930,18
"531",1997,0.29,1428,19
"532",1997,0.401,1571,21
"533",1997,0.318,380,22
"534",1997,0.655,957,24
"535",1997,0.474,1552,25
"536",1997,0.349,109,26
"537",1997,0.727,935,27
"538",1997,0.673,1456,28
"539",1997,0.794,442,29
"540",1997,0.643,636,31
"541",1997,0.592,1386,32
"542",1997,0.597,2258,33
"543",1997,0.687,1782,36
"544",1997,0.785,1025,39
"545",1997,0.526,2049,41
"546",1997,0.318,1602,42
"547",1997,0.432,1057,44
"548",1997,0.551,1993,45
"549",1997,0.751,2151,46
"550",1997,0.846,259,47
"551",1997,0.474,2254,48
"552",1997,0.587,914,49
"553",1997,0.569,578,50
"554",1997,0.699,1019,51
"555",1997,0.453,495,52
"556",1997,0.698,248,53
"557",1997,0.472,1415,54
"558",1997,0.731,189,56
"559",1997,0.45,196,58
"560",1997,0.661,1801,59
"561",1997,0.637,1894,61
"562",1997,0.567,1206,62
"563",1997,0.275,1078,64
"564",1997,0.435,1280,65
"565",1997,0.248,363,66
"566",1997,0.893,1299,69
"567",1997,0.434,1480,71
"568",1997,0.716,1178,73
"569",1997,0.637,355,74
"570",1997,0.764,2134,75
"571",1997,0.78,332,76
"572",1997,0.703,51,77
"573",1997,0.291,1762,78
"574",1997,0.731,1484,79
"575",1997,0.38,2098,80
"576",1997,0.28,1027,81
"577",1997,0.794,410,82
"578",1997,0.646,1651,83
"579",1997,0.805,1170,84
"580",1997,0.817,459,85
"581",1997,0.666,1611,86
"582",1997,0.586,825,87
"583",1997,0.54,1923,88
"584",1997,0.675,2234,89
"585",1997,0.695,2351,90
"586",1997,0.621,979,91
"587",1997,0.766,871,93
"588",1997,0.856,202,94
"589",1997,0.886,754,95
"590",1998,0.416,1636,2
"591",1998,0.344,1905,3
"592",1998,0.655,1437,4
"593",1998,0.896,1677,7
"594",1998,0.787,639,10
"595",1998,0.753,584,11
"596",1998,0.674,2091,12
"597",1998,0.873,728,13
"598",1998,0.628,760,14
"599",1998,0.58,502,17
"600",1998,0.67,1921,18
"601",1998,0.294,2122,20
"602",1998,0.861,110,22
"603",1998,0.571,926,24
"604",1998,0.48,112,26
"605",1998,0.414,963,27
"606",1998,0.738,1474,28
"607",1998,0.677,439,29
"608",1998,0.355,101,30
"609",1998,0.675,1391,32
"610",1998,0.594,2251,33
"611",1998,0.49,273,35
"612",1998,0.487,997,39
"613",1998,0.795,1,40
"614",1998,0.534,1145,42
"615",1998,0.326,1848,43
"616",1998,0.607,1048,44
"617",1998,0.435,1971,45
"618",1998,0.556,2157,46
"619",1998,0.758,230,47
"620",1998,0.855,2243,48
"621",1998,0.481,932,49
"622",1998,0.647,572,50
"623",1998,0.849,1023,51
"624",1998,0.606,520,52
"625",1998,0.46,237,53
"626",1998,0.77,121,55
"627",1998,0.844,1499,57
"628",1998,0.459,1867,59
"629",1998,0.695,198,60
"630",1998,0.637,1142,62
"631",1998,0.575,107,63
"632",1998,0.509,1196,64
"633",1998,0.557,1233,65
"634",1998,0.559,235,66
"635",1998,0.255,508,67
"636",1998,0.904,1648,70
"637",1998,0.442,392,74
"638",1998,0.626,2158,75
"639",1998,0.774,348,76
"640",1998,0.81,44,77
"641",1998,0.705,1765,78
"642",1998,0.485,1376,79
"643",1998,0.736,2026,80
"644",1998,0.284,686,82
"645",1998,0.813,1649,83
"646",1998,0.64,1182,84
"647",1998,0.821,1423,86
"648",1998,0.882,832,87
"649",1998,0.588,1959,88
"650",1998,0.425,2239,89
"651",1998,0.678,2350,90
"652",1998,0.694,975,91
"653",1998,0.688,856,93
"654",1998,0.862,747,95
"655",1999,0.431,1641,2
"656",1999,0.442,1922,3
"657",1999,0.348,1430,4
"658",1999,0.391,1045,6
"659",1999,0.664,1668,7
"660",1999,0.842,79,9
"661",1999,0.469,568,11
"662",1999,0.76,1996,12
"663",1999,0.679,683,13
"664",1999,0.875,819,14
"665",1999,0.409,238,15
"666",1999,0.619,395,16
"667",1999,0.582,1937,18
"668",1999,0.716,1404,19
"669",1999,0.295,1608,21
"670",1999,0.436,535,22
"671",1999,0.75,724,24
"672",1999,0.662,1545,25
"673",1999,0.717,733,27
"674",1999,0.419,1492,28
"675",1999,0.747,448,29
"676",1999,0.868,103,30
"677",1999,0.359,1033,31
"678",1999,0.654,1325,32
"679",1999,0.673,2246,33
"680",1999,0.608,23,34
"681",1999,0.773,282,35
"682",1999,0.479,1822,36
"683",1999,0.868,1032,39
"684",1999,0.489,1,40
"685",1999,0.797,2079,41
"686",1999,0.542,1886,43
"687",1999,0.611,1950,45
"688",1999,0.439,2160,46
"689",1999,0.56,218,47
"690",1999,0.765,2267,48
"691",1999,0.86,942,49
"692",1999,0.594,538,50
"693",1999,0.68,1086,51
"694",1999,0.781,514,52
"695",1999,0.613,217,53
"696",1999,0.723,1327,54
"697",1999,0.399,117,55
"698",1999,0.775,137,56
"699",1999,0.751,1565,57
"700",1999,0.793,269,58
"701",1999,0.672,229,60
"702",1999,0.699,1899,61
"703",1999,0.64,114,63
"704",1999,0.404,1238,65
"705",1999,0.872,157,66
"706",1999,0.568,454,67
"707",1999,0.259,1153,68
"708",1999,0.909,1483,71
"709",1999,0.443,1136,73
"710",1999,0.729,367,74
"711",1999,0.677,2136,75
"712",1999,0.63,359,76
"713",1999,0.786,48,77
"714",1999,0.711,1768,78
"715",1999,0.646,1341,79
"716",1999,0.492,2058,80
"717",1999,0.71,1005,81
"718",1999,0.763,1587,83
"719",1999,0.826,1190,84
"720",1999,0.813,485,85
"721",1999,0.899,818,87
"722",1999,0.889,2002,88
"723",1999,0.426,2354,90
"724",1999,0.679,978,91
"725",1999,0.39,869,93
"726",1999,0.69,265,94
"727",1999,0.776,691,95
"728",2000,0.739,1369,1
"729",2000,0.574,1613,2
"730",2000,0.42,1909,3
"731",2000,0.437,1379,4
"732",2000,0.637,826,5
"733",2000,0.813,1047,6
"734",2000,0.781,1595,7
"735",2000,0.669,31,8
"736",2000,0.903,65,9
"737",2000,0.635,574,10
"738",2000,0.795,587,11
"739",2000,0.478,2047,12
"740",2000,0.771,660,13
"741",2000,0.686,810,14
"742",2000,0.64,199,15
"743",2000,0.627,469,17
"744",2000,0.679,1941,18
"745",2000,0.802,1422,19
"746",2000,0.72,2170,20
"747",2000,0.293,1575,21
"748",2000,0.424,491,22
"749",2000,0.293,711,24
"750",2000,0.588,1481,25
"751",2000,0.666,105,26
"752",2000,0.349,692,27
"753",2000,0.721,1520,28
"754",2000,0.421,437,29
"755",2000,0.804,96,30
"756",2000,0.87,996,31
"757",2000,0.703,1296,32
"758",2000,0.659,2221,33
"759",2000,0.613,20,34
"760",2000,0.787,1780,36
"761",2000,0.403,246,38
"762",2000,0.69,1037,39
"763",2000,0.876,1,40
"764",2000,0.494,2089,41
"765",2000,0.804,1191,42
"766",2000,0.34,1024,44
"767",2000,0.616,2149,46
"768",2000,0.442,204,47
"769",2000,0.566,2275,48
"770",2000,0.772,954,49
"771",2000,0.495,557,50
"772",2000,0.838,1126,51
"773",2000,0.553,482,52
"774",2000,0.781,227,53
"775",2000,0.471,1292,54
"776",2000,0.459,100,55
"777",2000,0.435,169,56
"778",2000,0.862,1623,57
"779",2000,0.312,261,58
"780",2000,0.795,1965,59
"781",2000,0.464,241,60
"782",2000,0.678,1873,61
"783",2000,0.708,1098,62
"784",2000,0.546,128,63
"785",2000,0.588,837,64
"786",2000,0.307,1300,65
"787",2000,0.882,144,66
"788",2000,0.876,436,67
"789",2000,0.577,1119,68
"790",2000,0.262,1231,69
"791",2000,0.677,1443,71
"792",2000,0.693,1128,73
"793",2000,0.744,293,74
"794",2000,0.643,2150,75
"795",2000,0.679,299,76
"796",2000,0.79,42,77
"797",2000,0.816,1753,78
"798",2000,0.341,1374,79
"799",2000,0.651,2078,80
"800",2000,0.39,1080,81
"801",2000,0.716,986,82
"802",2000,0.821,1549,83
"803",2000,0.765,1111,84
"804",2000,0.631,498,85
"805",2000,0.823,1368,86
"806",2000,0.903,2005,88
"807",2000,0.652,2231,89
"808",2000,0.484,2356,90
"809",2000,0.427,965,91
"810",2000,0.694,798,95
"811",2001,0.886,1417,1
"812",2001,0.676,1593,2
"813",2001,0.444,1901,3
"814",2001,0.425,1353,4
"815",2001,0.678,841,5
"816",2001,0.647,1034,6
"817",2001,0.786,33,8
"818",2001,0.673,59,9
"819",2001,0.857,586,10
"820",2001,0.798,616,11
"821",2001,0.796,2038,12
"822",2001,0.486,625,13
"823",2001,0.77,881,14
"824",2001,0.883,249,15
"825",2001,0.428,333,16
"826",2001,0.63,1943,18
"827",2001,0.691,1375,19
"828",2001,0.803,2198,20
"829",2001,0.73,1610,21
"830",2001,0.327,772,24
"831",2001,0.767,1504,25
"832",2001,0.596,106,26
"833",2001,0.468,855,27
"834",2001,0.35,1555,28
"835",2001,0.725,536,29
"836",2001,0.81,83,30
"837",2001,0.814,809,31
"838",2001,0.369,1279,32
"839",2001,0.707,2220,33
"840",2001,0.68,13,34
"841",2001,0.534,138,35
"842",2001,0.624,302,38
"843",2001,0.411,1096,39
"844",2001,0.694,1,40
"845",2001,0.884,2093,41
"846",2001,0.493,1122,42
"847",2001,0.814,2023,43
"848",2001,0.557,1059,44
"849",2001,0.347,1991,45
"850",2001,0.619,223,47
"851",2001,0.444,2255,48
"852",2001,0.57,952,49
"853",2001,0.872,599,50
"854",2001,0.865,1138,51
"855",2001,0.465,550,52
"856",2001,0.569,310,53
"857",2001,0.628,1382,54
"858",2001,0.451,244,56
"859",2001,0.785,1658,57
"860",2001,0.626,239,58
"861",2001,0.325,1984,59
"862",2001,0.463,1876,61
"863",2001,0.687,1069,62
"864",2001,0.712,118,63
"865",2001,0.651,972,64
"866",2001,0.541,1358,65
"867",2001,0.454,99,66
"868",2001,0.886,403,67
"869",2001,0.88,1113,68
"870",2001,0.583,1188,69
"871",2001,0.268,1673,70
"872",2001,0.914,1149,73
"873",2001,0.454,270,74
"874",2001,0.456,2161,75
"875",2001,0.652,326,76
"876",2001,0.633,47,77
"877",2001,0.798,1750,78
"878",2001,0.728,1356,79
"879",2001,0.35,2068,80
"880",2001,0.746,1017,81
"881",2001,0.405,863,82
"882",2001,0.309,1542,83
"883",2001,0.825,1158,84
"884",2001,0.843,537,85
"885",2001,0.611,1339,86
"886",2001,0.409,781,87
"887",2001,0.397,2232,89
"888",2001,0.66,2359,90
"889",2001,0.492,950,91
"890",2001,0.666,958,93
"891",2001,0.412,719,95
"892",2002,0.878,1420,1
"893",2002,0.594,1931,3
"894",2002,0.453,1370,4
"895",2002,0.384,913,5
"896",2002,0.684,1021,6
"897",2002,0.426,1589,7
"898",2002,0.781,104,9
"899",2002,0.907,551,10
"900",2002,0.651,634,11
"901",2002,0.8,1992,12
"902",2002,0.795,638,13
"903",2002,0.492,918,14
"904",2002,0.699,215,15
"905",2002,0.651,311,16
"906",2002,0.438,529,17
"907",2002,0.579,1351,19
"908",2002,0.699,2214,20
"909",2002,0.807,1628,21
"910",2002,0.877,655,24
"911",2002,0.307,1535,25
"912",2002,0.769,141,26
"913",2002,0.475,939,27
"914",2002,0.471,1564,28
"915",2002,0.358,553,29
"916",2002,0.698,80,30
"917",2002,0.819,721,31
"918",2002,0.89,1308,32
"919",2002,0.375,2236,33
"920",2002,0.668,12,34
"921",2002,0.627,161,35
"922",2002,0.546,1798,36
"923",2002,0.852,304,38
"924",2002,0.626,1180,39
"925",2002,0.415,1,40
"926",2002,0.699,2095,41
"927",2002,0.89,1244,42
"928",2002,0.499,1605,43
"929",2002,0.721,1074,44
"930",2002,0.563,2010,45
"931",2002,0.356,2165,46
"932",2002,0.622,2249,48
"933",2002,0.446,948,49
"934",2002,0.788,619,50
"935",2002,0.881,1116,51
"936",2002,0.714,539,52
"937",2002,0.465,274,53
"938",2002,0.78,1449,54
"939",2002,0.767,119,55
"940",2002,0.437,1645,57
"941",2002,0.723,251,58
"942",2002,0.63,2040,59
"943",2002,0.804,386,60
"944",2002,0.467,1101,62
"945",2002,0.692,151,63
"946",2002,0.559,1110,64
"947",2002,0.541,75,66
"948",2002,0.464,330,67
"949",2002,0.885,1090,68
"950",2002,0.888,1212,69
"951",2002,0.589,1692,70
"952",2002,0.273,1515,71
"953",2002,0.688,1175,73
"954",2002,0.714,240,74
"955",2002,0.744,2138,75
"956",2002,0.462,345,76
"957",2002,0.688,54,77
"958",2002,0.804,1775,78
"959",2002,0.731,1347,79
"960",2002,0.734,2084,80
